# Jzz = 1.0	hz = 0.9	alphas = [(1+0j), (1-0j)]	betas = [1, 1]	lambdas = [1, 1]	
#1/N	Delta_0	Delta_2pik	r	log_Delta_0	log_Delta_2pik
5.000000000000000000e-01 6.981317007977317912e-01 1.538565095432439800e-02 2.494727218167542282e-01 -4.587736401979924938e-01 -2.409883262948099514e+00
3.333333333333333148e-01 2.327105669325772730e-01 5.965505405836695266e-03 3.297248258513501007e-01 -1.042835941355050533e+00 -3.027795778011862282e+00
2.500000000000000000e-01 7.757018897752575304e-02 3.046031265917729935e-03 3.735192734281423399e-01 -1.528903213886282364e+00 -3.372707933165552951e+00
2.000000000000000111e-01 2.585672965917525101e-02 1.467875650456960425e-03 3.664741206731849665e-01 -1.976987954457404273e+00 -3.761566371150082855e+00
1.666666666666666574e-01 8.618909886391750916e-03 5.922341016054784475e-04 3.533625208691523190e-01 -2.454575293386350054e+00 -4.272008536061823847e+00
