# L = 5	dim_loc = 3	n_dis = 100	
# Jzz = 1.0	hz = 0.9	alphas = [(1+0j), (1-0j)]	betas = [1, 1]	lambdas = [1, 1]	
#time_set	abs_Z	ang_Z	t_histogram
1.000000000000000000e+00 9.701870545067670104e-01 -4.862720609124852292e-04 0.000000000000000000e+00
2.000000000000000000e+00 9.309701154342426843e-01 -2.453851731963467325e-04 0.000000000000000000e+00
4.000000000000000000e+00 8.271324876941567039e-01 9.054478374418144411e-05 0.000000000000000000e+00
8.000000000000000000e+00 6.385261221015708921e-01 1.553517553493647882e-02 8.500000000000000000e+01
1.600000000000000000e+01 5.643102594466619104e-01 1.561647269317433841e-02 3.500000000000000000e+01
3.200000000000000000e+01 5.001014819797814370e-01 -1.428763799178062698e-02 3.000000000000000000e+01
6.400000000000000000e+01 4.030496910850604464e-01 1.819408829849376852e-02 2.000000000000000000e+01
1.280000000000000000e+02 3.643872674299412084e-01 3.217665818366544084e-02 3.500000000000000000e+01
2.560000000000000000e+02 3.104493302949620226e-01 2.628525054911234893e-02 3.000000000000000000e+01
5.120000000000000000e+02 2.175674362671266571e-01 1.560800719800534316e-02 1.000000000000000000e+01
1.024000000000000000e+03 1.639345828972632035e-01 -1.065609881130457140e-02 4.500000000000000000e+01
2.048000000000000000e+03 1.000293840269458057e-01 5.325585223113273731e-02 3.500000000000000000e+01
4.096000000000000000e+03 9.008225556809454360e-02 -5.921043496504145576e-02 3.500000000000000000e+01
8.192000000000000000e+03 3.971829574350307229e-02 -3.213680300807046919e-01 3.500000000000000000e+01
1.638400000000000000e+04 6.031513766313727209e-02 -2.902826866401253536e-01 3.500000000000000000e+01
3.276800000000000000e+04 4.275037568136614424e-02 -1.387796423904223697e-01 1.500000000000000000e+01
6.553600000000000000e+04 2.848585912467054698e-02 -3.301578999416273086e-01 2.500000000000000000e+01
1.310720000000000000e+05 1.971510217199664433e-02 8.762915921371094985e-01 1.000000000000000000e+01
2.621440000000000000e+05 1.908064529140958074e-02 -7.534495924495012709e-01 5.000000000000000000e+00
5.242880000000000000e+05 4.738186558495436664e-03 -1.343651198442923800e+00 0.000000000000000000e+00
1.048576000000000000e+06 1.965102652268676392e-02 -7.348114380825696568e-01 1.000000000000000000e+01
2.097152000000000000e+06 9.005849299100393557e-03 4.506882034275549453e-01 5.000000000000000000e+00
4.194304000000000000e+06 5.271204856696255422e-03 2.336795515998069117e+00 0.000000000000000000e+00
8.388608000000000000e+06 1.145095974680645709e-02 -1.970461482219660665e+00 0.000000000000000000e+00
1.677721600000000000e+07 2.177700711880015474e-02 7.423841403199996636e-01 0.000000000000000000e+00
3.355443200000000000e+07 1.593805522392948565e-02 -3.634290855616316707e-01 0.000000000000000000e+00
6.710886400000000000e+07 7.691286008911900167e-03 8.802203408974093035e-01 0.000000000000000000e+00
1.342177280000000000e+08 5.022184202002637557e-03 8.462958550782687661e-01 0.000000000000000000e+00
2.684354560000000000e+08 1.851354312330903695e-02 7.044422345003786834e-01 0.000000000000000000e+00
5.368709120000000000e+08 2.338878048948557151e-02 -1.968893105775727070e+00 0.000000000000000000e+00
1.073741824000000000e+09 9.074233917575506153e-03 -5.419213501788888721e-01 0.000000000000000000e+00
2.147483648000000000e+09 8.927832196860888830e-03 7.841215866972893744e-01 0.000000000000000000e+00
4.294967296000000000e+09 4.622952045545023966e-03 -8.227088657713989006e-01 0.000000000000000000e+00
8.589934592000000000e+09 2.479307437308918630e-02 -4.908109927990703669e-01 0.000000000000000000e+00
1.717986918400000000e+10 1.635746927050110364e-02 -2.602701854590413255e+00 0.000000000000000000e+00
3.435973836800000000e+10 8.657105164318589993e-03 3.102646473478910760e+00 0.000000000000000000e+00
6.871947673600000000e+10 7.236331563605875872e-03 -1.019494774638797674e+00 0.000000000000000000e+00
1.374389534720000000e+11 8.560583104613481153e-03 1.012911722746052012e+00 0.000000000000000000e+00
2.748779069440000000e+11 1.284145579837235769e-02 2.586846203061434313e+00 0.000000000000000000e+00
5.497558138880000000e+11 1.718919028704525218e-02 -6.384133509258942407e-01 0.000000000000000000e+00
