# L 4
# hZ 0.3
# alphas [0.8660254037844387+ 0.49999999999999994j, 0.8660254037844387-0.49999999999999994j]
# epsilon 0.050000000000000003
# JZZ 1
# dim_loc 3
# lambdas [1.0, 1.0]
# n_dis 100
# betas [1.0, 1.0]
# gap 0.07757018897752575
# shifted_gap 0.000308164347085463
# log10_gap -1.3040287244570168
# log10_shifted_gap -4.582932347630382
# ratio 0.43895077848224134
# time	Re(Z)	Im(Z) Var(Z)
1.000000000000000000e+00 9.975015620226496127e-01 -4.164063150999972393e-05 1.543805026638709315e-29
2.000000000000000000e+00 9.927839044239356037e-01 -2.251584043633259057e-04 7.140903036709162348e-06
4.000000000000000000e+00 9.812223059606686171e-01 -7.958718692613348661e-04 1.494756805466422481e-04
8.000000000000000000e+00 9.572126199558141924e-01 -3.151904212145686512e-03 2.146825697986113560e-03
1.600000000000000000e+01 9.096262965729129402e-01 -1.098844308977113375e-02 2.029412358932780602e-02
3.200000000000000000e+01 8.510760491524917981e-01 -2.350790550598627973e-02 1.027068851843164210e-01
6.400000000000000000e+01 8.516182076088217867e-01 4.842095253623828789e-03 1.102329595238990684e-01
1.280000000000000000e+02 8.686137737104134837e-01 -7.560490301711055017e-03 7.133039696321213929e-02
2.560000000000000000e+02 8.540570796742125159e-01 -8.566953103356195545e-03 8.775644189109517435e-02
5.120000000000000000e+02 8.421825234992552645e-01 -8.473113788916849382e-03 8.884139493326186077e-02
1.024000000000000000e+03 8.116167089480090802e-01 -1.266587723791912697e-03 1.046175573126627012e-01
2.048000000000000000e+03 7.340794347647966456e-01 -8.564910568477513558e-03 1.630729622141485480e-01
4.096000000000000000e+03 6.529259481946428911e-01 3.089725120291571172e-03 2.156409238199834544e-01
8.192000000000000000e+03 5.644772019861667989e-01 1.553518376809244830e-02 2.543517517281897455e-01
1.638400000000000000e+04 5.177483650824740158e-01 -2.537320389980689261e-02 2.267021149269755342e-01
3.276800000000000000e+04 3.941812669032613292e-01 -1.584745617988658067e-02 2.972394437349266672e-01
6.553600000000000000e+04 3.313268844312564632e-01 -1.450902760428340182e-02 2.710430338319337329e-01
1.310720000000000000e+05 2.453166853679678017e-01 -8.614027683778922168e-03 2.574482342554765268e-01
2.621440000000000000e+05 1.447002426621424587e-01 -3.939027369971229847e-02 3.050036888018554659e-01
5.242880000000000000e+05 1.145604421746579948e-01 -3.783614957852920058e-03 2.635461492964038532e-01
1.048576000000000000e+06 1.264771677865071386e-01 -8.531140058719448999e-03 2.475744062235563370e-01
2.097152000000000000e+06 9.261682008074166583e-02 -2.843509505942859797e-02 2.037779010487445197e-01
4.194304000000000000e+06 6.362250616742960718e-02 -2.856290155266807615e-02 2.387429008946299891e-01
8.388608000000000000e+06 4.338224299583504778e-02 -8.034069381386928568e-03 2.346600089948377987e-01
1.677721600000000000e+07 1.610164296215887622e-02 -6.416151320126720070e-02 2.172589203389973245e-01
3.355443200000000000e+07 1.320712284352350101e-02 -3.618357112919106527e-02 2.202624491528053507e-01
6.710886400000000000e+07 -3.818838824271180571e-02 -2.457231281630860645e-02 2.413142488867529856e-01
1.342177280000000000e+08 8.469639053461978928e-03 -3.779742838508225872e-02 2.357063769679905441e-01
2.684354560000000000e+08 2.896578362983173727e-02 1.941079393443640930e-02 2.106235956622959093e-01
5.368709120000000000e+08 1.654816024411130682e-02 2.475187196943772275e-03 2.134582448486493089e-01
1.073741824000000000e+09 -1.756640140794706387e-02 8.808280136850884720e-03 2.412641503442882751e-01
2.147483648000000000e+09 -3.454676850004418515e-02 7.071776239174315526e-02 2.296278236544919971e-01
4.294967296000000000e+09 1.460288326774235312e-02 2.605231015111761361e-02 2.251695527502577121e-01
8.589934592000000000e+09 -3.558366830124438246e-02 -2.116029673990824783e-02 1.780774667405259082e-01
1.717986918400000000e+10 1.923642723465171858e-02 -6.774035725728305007e-03 2.201087962410352983e-01
3.435973836800000000e+10 2.158201413583991923e-02 1.052745422693103852e-02 1.945328362055025462e-01
6.871947673600000000e+10 2.306100007120794396e-02 2.938820599182526139e-02 2.165560932333681077e-01
1.374389534720000000e+11 -2.863960065597463689e-02 -1.458081076552546727e-02 1.992230330876111344e-01
2.748779069440000000e+11 4.115104962496698299e-02 1.523389856350091179e-02 2.157239403972817660e-01
5.497558138880000000e+11 1.690537151634540630e-02 7.249056344209634352e-04 2.032511357405679675e-01
