# L = 5	dim_loc = 3	n_dis = 100	
# Jzz = 1.0	hz = 0.9	alphas = [(0.96592582628906831+0.25881904510252074j), (0.96592582628906831-0.25881904510252074j)]	betas = [1, 1]	lambdas = [1, 1]	
#time_set	abs_Z	ang_Z	t_histogram
1.000000000000000000e+00 9.945661544763770845e-01 -6.229425291118224168e-05 0.000000000000000000e+00
2.000000000000000000e+00 9.866797904255675267e-01 -1.947590572452167286e-04 0.000000000000000000e+00
4.000000000000000000e+00 9.738585104320425234e-01 -2.515661035519914683e-04 0.000000000000000000e+00
8.000000000000000000e+00 9.520079652205467591e-01 -1.206538615457649526e-03 0.000000000000000000e+00
1.600000000000000000e+01 9.200418028807594295e-01 -6.689991204426915666e-03 0.000000000000000000e+00
3.200000000000000000e+01 9.044430681678315986e-01 -5.924979781484867626e-03 0.000000000000000000e+00
6.400000000000000000e+01 9.041731250627440541e-01 -1.970506465597605082e-03 0.000000000000000000e+00
1.280000000000000000e+02 9.007174184745445622e-01 -5.706279347003348663e-03 0.000000000000000000e+00
2.560000000000000000e+02 8.962928664158281711e-01 -5.909235958006036141e-03 0.000000000000000000e+00
5.120000000000000000e+02 8.952180024840737937e-01 -8.430056958852764556e-03 0.000000000000000000e+00
1.024000000000000000e+03 8.964058766479375828e-01 -2.985085766242645891e-03 0.000000000000000000e+00
2.048000000000000000e+03 8.978964504340323227e-01 -1.144856208456847789e-03 0.000000000000000000e+00
4.096000000000000000e+03 8.859332950939574625e-01 -2.097227782156135117e-03 0.000000000000000000e+00
8.192000000000000000e+03 8.934376721712070646e-01 -4.178661311986917384e-03 0.000000000000000000e+00
1.638400000000000000e+04 8.811422782972526679e-01 6.870496772802358156e-04 5.000000000000000000e+00
3.276800000000000000e+04 8.661629056147136518e-01 -2.771773116665596400e-03 5.000000000000000000e+00
6.553600000000000000e+04 8.479218367640372067e-01 -1.136927749357882246e-02 0.000000000000000000e+00
1.310720000000000000e+05 8.277820255071542954e-01 -1.697046153167880780e-02 5.000000000000000000e+00
2.621440000000000000e+05 7.676358511242780125e-01 -2.207100756019218443e-02 5.000000000000000000e+00
5.242880000000000000e+05 6.811171985450252819e-01 -1.922829325110527940e-02 1.500000000000000000e+01
1.048576000000000000e+06 5.625988032883552092e-01 -8.214000254666038725e-02 2.500000000000000000e+01
2.097152000000000000e+06 4.434854988476414350e-01 4.201129023624426695e-02 4.500000000000000000e+01
4.194304000000000000e+06 3.742776467588183609e-01 7.140809222806705769e-02 8.500000000000000000e+01
8.388608000000000000e+06 2.540366408062184056e-01 1.814196860810277437e-02 3.500000000000000000e+01
1.677721600000000000e+07 1.624192787213434575e-01 1.571646017962347319e-01 5.000000000000000000e+01
3.355443200000000000e+07 1.234256549088768445e-01 -7.682848500986565188e-02 3.000000000000000000e+01
6.710886400000000000e+07 4.463584743209101507e-02 -4.784369815882932309e-01 4.000000000000000000e+01
1.342177280000000000e+08 1.204078415602419516e-01 4.752142286493757362e-01 5.000000000000000000e+01
2.684354560000000000e+08 7.197925270542590570e-02 8.660144818960920921e-01 3.000000000000000000e+01
5.368709120000000000e+08 5.357521864318665061e-02 2.781779235380882342e-01 2.000000000000000000e+01
1.073741824000000000e+09 5.539195295203384189e-02 2.024354518351791921e-01 1.500000000000000000e+01
2.147483648000000000e+09 3.000250171190336004e-02 -1.446444636574625298e-01 1.500000000000000000e+01
4.294967296000000000e+09 3.120967067879957396e-02 -1.997835005279685383e+00 1.000000000000000000e+01
8.589934592000000000e+09 3.212601687142047774e-02 -2.043675136612544130e-01 0.000000000000000000e+00
1.717986918400000000e+10 5.953462509193904045e-02 -8.308385960989880248e-01 0.000000000000000000e+00
3.435973836800000000e+10 6.408727573234503094e-02 2.390491227514714101e+00 0.000000000000000000e+00
6.871947673600000000e+10 5.187302193262847277e-02 -2.744350325410596980e+00 5.000000000000000000e+00
1.374389534720000000e+11 1.938868245338939283e-02 2.716169537537092005e+00 0.000000000000000000e+00
2.748779069440000000e+11 1.785976555830738263e-02 -1.412076722312411992e+00 5.000000000000000000e+00
5.497558138880000000e+11 3.765004405639212071e-02 -8.301599897850368004e-01 0.000000000000000000e+00
