# L = 3	dim_loc = 3	n_dis = 100	
# Jzz = 1.0	hz = 0.9	alphas = [(0.99619469809174555+0.087155742747658152j), (0.99619469809174555-0.087155742747658152j)]	betas = [1, 1]	lambdas = [1, 1]	
#time_set	abs_Z	ang_Z	t_histogram
1.000000000000000000e+00 9.119043120532481783e-01 1.010280779209090382e-03 0.000000000000000000e+00
2.000000000000000000e+00 8.255021483066931065e-01 -9.949439629762110921e-05 3.000000000000000000e+00
4.000000000000000000e+00 6.317125782196224559e-01 1.218127505350805918e-02 2.700000000000000000e+01
8.000000000000000000e+00 5.308452658568448834e-01 1.079343888870140135e-02 1.800000000000000000e+01
1.600000000000000000e+01 5.123172410570833168e-01 -9.606244315588137114e-03 9.000000000000000000e+00
3.200000000000000000e+01 4.151368098881481616e-01 3.989682343201020158e-03 2.400000000000000000e+01
6.400000000000000000e+01 3.109116954503450825e-01 4.279715088767032521e-02 4.200000000000000000e+01
1.280000000000000000e+02 2.085340802717990105e-01 -9.277844763466507050e-02 1.800000000000000000e+01
2.560000000000000000e+02 1.750764723851953863e-01 -1.540630221179974391e-01 1.800000000000000000e+01
5.120000000000000000e+02 9.520673062050641344e-02 1.911688888563605471e-01 3.000000000000000000e+01
1.024000000000000000e+03 4.291311131755435465e-02 8.595828849351695722e-02 2.700000000000000000e+01
2.048000000000000000e+03 4.483385194258120848e-02 -9.432348502036390636e-01 2.100000000000000000e+01
4.096000000000000000e+03 1.372467374953070460e-02 -3.221157719629862415e-01 9.000000000000000000e+00
8.192000000000000000e+03 1.773578478153345697e-02 2.496351732194512341e+00 2.400000000000000000e+01
1.638400000000000000e+04 4.660603014017924289e-02 -3.860914097169120818e-01 3.000000000000000000e+00
3.276800000000000000e+04 2.966400420243137104e-02 -2.646297993105669821e+00 6.000000000000000000e+00
6.553600000000000000e+04 2.180411972034968296e-02 7.361352628513190277e-01 3.000000000000000000e+00
1.310720000000000000e+05 5.035497601861156636e-02 -1.886525512691006323e+00 0.000000000000000000e+00
2.621440000000000000e+05 2.368296915416792658e-02 -9.039829573116610062e-01 6.000000000000000000e+00
5.242880000000000000e+05 1.049923193149224394e-02 -2.438919489555460007e+00 3.000000000000000000e+00
1.048576000000000000e+06 1.711033066639744069e-02 -2.844911761506677128e-01 0.000000000000000000e+00
2.097152000000000000e+06 1.666663587078607775e-02 3.919258411463599212e-01 0.000000000000000000e+00
4.194304000000000000e+06 2.950233541265880055e-02 -1.054890584404999165e+00 0.000000000000000000e+00
8.388608000000000000e+06 3.087994666052590667e-02 -1.174954617640867838e+00 6.000000000000000000e+00
1.677721600000000000e+07 2.591218074508962882e-02 1.754753193918915821e+00 3.000000000000000000e+00
3.355443200000000000e+07 3.630815551392302387e-02 1.967263236031461693e+00 0.000000000000000000e+00
6.710886400000000000e+07 2.462776681467481257e-02 -3.922760405995773247e-01 0.000000000000000000e+00
1.342177280000000000e+08 4.015877767780900304e-02 -2.196423692279239948e+00 0.000000000000000000e+00
2.684354560000000000e+08 8.058285346715677103e-03 -2.682191824926935642e+00 0.000000000000000000e+00
5.368709120000000000e+08 1.644940128944457486e-02 1.684520598167787320e+00 0.000000000000000000e+00
1.073741824000000000e+09 8.053099121961729973e-03 -1.003635220398699346e+00 0.000000000000000000e+00
2.147483648000000000e+09 4.075296289992040577e-02 -2.689725895862935978e+00 0.000000000000000000e+00
4.294967296000000000e+09 4.218474108445625231e-02 2.225708632976842072e+00 0.000000000000000000e+00
8.589934592000000000e+09 2.572901130542988232e-02 -1.394817805053582438e+00 0.000000000000000000e+00
1.717986918400000000e+10 1.455538148670330358e-02 2.869825391838009221e+00 0.000000000000000000e+00
3.435973836800000000e+10 3.500684550046650328e-02 -6.005453136091251642e-02 0.000000000000000000e+00
6.871947673600000000e+10 9.414005050180924983e-03 2.156945156419195264e+00 0.000000000000000000e+00
1.374389534720000000e+11 1.773872793960118086e-02 -8.043580417310082220e-01 0.000000000000000000e+00
2.748779069440000000e+11 9.507284530237348347e-03 8.165720179562868664e-01 0.000000000000000000e+00
5.497558138880000000e+11 3.520754776655163343e-02 -1.873938352799205953e+00 0.000000000000000000e+00
