# L = 2	dim_loc = 3	n_dis = 100	
# Jzz = 1.0	hz = 0.9	alphas = [(0.90630778703664994+0.42261826174069939j), (0.90630778703664994-0.42261826174069939j)]	betas = [1, 1]	lambdas = [1, 1]	
#time_set	abs_Z	ang_Z	t_histogram
1.000000000000000000e+00 9.803344002047685857e-01 5.073853492356304945e-04 0.000000000000000000e+00
2.000000000000000000e+00 9.653742516832694021e-01 4.402715595350387991e-04 0.000000000000000000e+00
4.000000000000000000e+00 9.524409464595534613e-01 3.126510156209523928e-03 0.000000000000000000e+00
8.000000000000000000e+00 9.119721832600456990e-01 4.532456260055574108e-03 0.000000000000000000e+00
1.600000000000000000e+01 8.563975422258618408e-01 1.800625489028722769e-04 4.000000000000000000e+00
3.200000000000000000e+01 7.703022417056212268e-01 -3.098158584497369417e-02 4.000000000000000000e+00
6.400000000000000000e+01 6.085063413235350938e-01 -7.955437451723243458e-02 1.000000000000000000e+01
1.280000000000000000e+02 5.438480614741996177e-01 -4.109946419691897640e-02 1.600000000000000000e+01
2.560000000000000000e+02 4.460692650239951318e-01 -5.145159912467181518e-03 2.600000000000000000e+01
5.120000000000000000e+02 2.810760177328694431e-01 4.331363625836699704e-02 1.800000000000000000e+01
1.024000000000000000e+03 2.029050227929189154e-01 2.069066680129295552e-02 3.000000000000000000e+01
2.048000000000000000e+03 1.574050443466407656e-01 8.203083242481851167e-02 2.600000000000000000e+01
4.096000000000000000e+03 6.104060806979282050e-02 9.110497086228744879e-01 1.000000000000000000e+01
8.192000000000000000e+03 5.916967872702047493e-02 -1.312899541853577157e+00 1.400000000000000000e+01
1.638400000000000000e+04 4.855921051742319999e-02 1.112358247370254904e+00 1.800000000000000000e+01
3.276800000000000000e+04 6.729113625070412552e-02 2.889697959825001217e+00 6.000000000000000000e+00
6.553600000000000000e+04 6.205323217420626036e-02 -6.469600511804098897e-01 2.000000000000000000e+00
1.310720000000000000e+05 9.665110204625609880e-02 -1.045846866937479719e-01 0.000000000000000000e+00
2.621440000000000000e+05 7.544461446341570177e-02 -7.832932532466239106e-01 2.000000000000000000e+00
5.242880000000000000e+05 3.277580848149248133e-02 -2.590546856047853286e+00 4.000000000000000000e+00
1.048576000000000000e+06 7.521554493726287371e-02 4.086520615011536572e-02 6.000000000000000000e+00
2.097152000000000000e+06 1.469457740024842501e-02 -1.744362936175291701e+00 2.000000000000000000e+00
4.194304000000000000e+06 7.395612651248648084e-02 2.196163920576225781e+00 2.000000000000000000e+00
8.388608000000000000e+06 2.954169628331585265e-02 -8.884645339439256606e-01 0.000000000000000000e+00
1.677721600000000000e+07 5.285578526484221301e-02 -4.307369729427147909e-01 0.000000000000000000e+00
3.355443200000000000e+07 8.301447828342031765e-02 3.071216779893045423e+00 0.000000000000000000e+00
6.710886400000000000e+07 3.832948061609978835e-02 -1.433063670627216513e-01 0.000000000000000000e+00
1.342177280000000000e+08 1.161145881275534898e-02 -2.844521762387929087e+00 0.000000000000000000e+00
2.684354560000000000e+08 1.601804935385893122e-02 4.893863300873058653e-01 0.000000000000000000e+00
5.368709120000000000e+08 5.236381410815015014e-02 -2.915062499371644744e+00 0.000000000000000000e+00
1.073741824000000000e+09 2.638401883860048286e-02 1.610699985439789927e-01 0.000000000000000000e+00
2.147483648000000000e+09 6.390979879826680365e-02 6.626794953358449147e-01 0.000000000000000000e+00
4.294967296000000000e+09 3.767520857650258348e-02 1.532076112805311974e+00 0.000000000000000000e+00
8.589934592000000000e+09 3.848753286099953347e-02 -7.418385702154615124e-01 0.000000000000000000e+00
1.717986918400000000e+10 7.460394088443107752e-02 -2.136280939373287779e+00 0.000000000000000000e+00
3.435973836800000000e+10 9.570564905936269906e-02 1.877194274371328575e+00 0.000000000000000000e+00
6.871947673600000000e+10 1.470852273816605250e-02 -1.783562361658887596e+00 0.000000000000000000e+00
1.374389534720000000e+11 4.417860801739860281e-03 -2.930184310587151231e+00 0.000000000000000000e+00
2.748779069440000000e+11 4.358408870132519930e-02 -2.490506287308427602e+00 0.000000000000000000e+00
5.497558138880000000e+11 6.641664154598916903e-02 5.553635320818831600e-01 0.000000000000000000e+00
