# L = 4	dim_loc = 3	n_dis = 100	
# Jzz = 1.0	hz = 0.9	alphas = [(0.96592582628906831+0.25881904510252074j), (0.96592582628906831-0.25881904510252074j)]	betas = [1, 1]	lambdas = [1, 1]	
#time_set	abs_Z	ang_Z	t_histogram
1.000000000000000000e+00 8.289853076279519728e-01 -9.426363711406936501e-04 0.000000000000000000e+00
2.000000000000000000e+00 6.968684985343046590e-01 -2.258449230408166551e-03 4.000000000000000000e+00
4.000000000000000000e+00 5.870295741528288591e-01 3.290510844196176815e-02 2.400000000000000000e+01
8.000000000000000000e+00 5.611945640248660050e-01 1.384437215189431546e-02 1.600000000000000000e+01
1.600000000000000000e+01 4.944473810151083226e-01 2.755809883445244773e-02 2.800000000000000000e+01
3.200000000000000000e+01 4.648767349955627570e-01 -1.385498902581956682e-02 1.200000000000000000e+01
6.400000000000000000e+01 4.133399181093182495e-01 -1.052292447542132851e-02 8.000000000000000000e+00
1.280000000000000000e+02 3.415765563636368185e-01 1.148001615510516916e-02 2.000000000000000000e+01
2.560000000000000000e+02 2.719643476111683333e-01 -2.257870319849296370e-02 3.200000000000000000e+01
5.120000000000000000e+02 1.994093004950683035e-01 -2.640256997132400113e-02 2.800000000000000000e+01
1.024000000000000000e+03 1.285683611334866028e-01 -6.252376770352618962e-02 4.800000000000000000e+01
2.048000000000000000e+03 7.184169044574766072e-02 -1.029352879673501031e-01 4.000000000000000000e+01
4.096000000000000000e+03 3.980339205194548952e-02 -3.298467090174974636e-01 2.400000000000000000e+01
8.192000000000000000e+03 9.644889418498496514e-03 5.940835199648385467e-01 4.000000000000000000e+01
1.638400000000000000e+04 1.651228859971388963e-02 6.202651409816302142e-01 2.000000000000000000e+01
3.276800000000000000e+04 3.589602339546960758e-03 -9.246027258800969539e-01 1.600000000000000000e+01
6.553600000000000000e+04 3.827739527713105300e-02 -8.142755387976718939e-01 1.600000000000000000e+01
1.310720000000000000e+05 2.791158768117858995e-03 2.474078753728339741e+00 8.000000000000000000e+00
2.621440000000000000e+05 1.395672236405800203e-02 1.210751753701495792e+00 8.000000000000000000e+00
5.242880000000000000e+05 2.457865612336052399e-02 -4.574064129198444628e-01 4.000000000000000000e+00
1.048576000000000000e+06 1.032611807601295680e-02 -1.535587853073565601e+00 0.000000000000000000e+00
2.097152000000000000e+06 1.513184752700404319e-02 1.897902013994347659e+00 0.000000000000000000e+00
4.194304000000000000e+06 2.032435701761198948e-02 -2.965198567038501043e+00 0.000000000000000000e+00
8.388608000000000000e+06 1.301646821257114624e-02 1.023730272268413705e-01 4.000000000000000000e+00
1.677721600000000000e+07 4.930504492650629976e-03 1.603721013419240782e+00 0.000000000000000000e+00
3.355443200000000000e+07 1.675235456951077589e-02 2.508033212842798676e+00 0.000000000000000000e+00
6.710886400000000000e+07 2.669732290100873193e-02 -1.965076891978590812e+00 0.000000000000000000e+00
1.342177280000000000e+08 1.573848743653336393e-02 -1.857293726551543678e+00 0.000000000000000000e+00
2.684354560000000000e+08 3.125955681299120992e-02 -1.578742705983870342e+00 0.000000000000000000e+00
5.368709120000000000e+08 1.469881067721695578e-02 2.284214107739183763e+00 0.000000000000000000e+00
1.073741824000000000e+09 1.854683858096596930e-02 1.742533371482624771e+00 0.000000000000000000e+00
2.147483648000000000e+09 1.219078658062459214e-02 2.547226871001718962e+00 0.000000000000000000e+00
4.294967296000000000e+09 7.464765102745315670e-03 2.195070034602450093e+00 0.000000000000000000e+00
8.589934592000000000e+09 1.634255501428213617e-02 -1.141733944505414877e+00 0.000000000000000000e+00
1.717986918400000000e+10 2.322403438216415900e-02 -1.747797663939508472e-01 0.000000000000000000e+00
3.435973836800000000e+10 7.200335849493708432e-03 -1.978938262494531086e+00 0.000000000000000000e+00
6.871947673600000000e+10 2.335919100682840033e-02 -2.255369306464992452e+00 0.000000000000000000e+00
1.374389534720000000e+11 2.318460999819511176e-02 1.696244510015382012e+00 0.000000000000000000e+00
2.748779069440000000e+11 2.267282699898242465e-02 -2.821962487724081203e-01 0.000000000000000000e+00
5.497558138880000000e+11 2.718994552367403825e-02 2.567625600516099671e-01 0.000000000000000000e+00
