# L = 5	dim_loc = 3	n_dis = 100	
# Jzz = 1.0	hz = 0.9	alphas = [(0.93969262078590843+0.34202014332566866j), (0.93969262078590843-0.34202014332566866j)]	betas = [1, 1]	lambdas = [1, 1]	
#time_set	abs_Z	ang_Z	t_histogram
1.000000000000000000e+00 8.660341498790398163e-01 -6.534349005308030985e-03 0.000000000000000000e+00
2.000000000000000000e+00 7.307353705189254534e-01 -5.508818472772948789e-03 5.000000000000000000e+00
4.000000000000000000e+00 6.139676638358538829e-01 4.395478119360364880e-03 1.000000000000000000e+01
8.000000000000000000e+00 5.462852175206696081e-01 2.184374696460909121e-02 3.000000000000000000e+01
1.600000000000000000e+01 5.058470568733705042e-01 1.041253217104484534e-02 1.000000000000000000e+01
3.200000000000000000e+01 4.528950081909537406e-01 -2.386663408301413145e-02 1.000000000000000000e+01
6.400000000000000000e+01 4.037072549753946693e-01 -2.063899907493179189e-04 1.500000000000000000e+01
1.280000000000000000e+02 3.652515707543417256e-01 -5.183818274458581489e-03 1.500000000000000000e+01
2.560000000000000000e+02 3.239559250522803246e-01 -4.105373283468717084e-03 3.000000000000000000e+01
5.120000000000000000e+02 2.687558623997390317e-01 7.804108662893962517e-03 4.000000000000000000e+01
1.024000000000000000e+03 2.198332467338334484e-01 6.759094958204676408e-03 3.000000000000000000e+01
2.048000000000000000e+03 1.619407691647632985e-01 1.534335491059100019e-02 5.500000000000000000e+01
4.096000000000000000e+03 1.374975222592048629e-01 -2.703582290634562457e-02 4.500000000000000000e+01
8.192000000000000000e+03 1.012101869210031285e-01 -3.130144080117873559e-04 4.000000000000000000e+01
1.638400000000000000e+04 7.073201809359568049e-02 -1.153499485636182986e-01 3.000000000000000000e+01
3.276800000000000000e+04 4.127124371842647022e-02 1.504933574383210404e-01 4.000000000000000000e+01
6.553600000000000000e+04 1.473939219397798518e-02 -2.681321625092036864e-01 3.500000000000000000e+01
1.310720000000000000e+05 1.513294129659568249e-02 1.390959909758278545e+00 2.000000000000000000e+01
2.621440000000000000e+05 2.901045984710889925e-02 9.450683141715505997e-02 1.000000000000000000e+01
5.242880000000000000e+05 1.502978877708773843e-02 1.669190217457457992e+00 1.000000000000000000e+01
1.048576000000000000e+06 1.816376420645151452e-02 2.259435071183805377e+00 1.500000000000000000e+01
2.097152000000000000e+06 1.402660362306273195e-02 5.476018396682217348e-01 0.000000000000000000e+00
4.194304000000000000e+06 1.521700184292399186e-02 -2.423853713512771624e-01 5.000000000000000000e+00
8.388608000000000000e+06 1.338279107799615793e-02 -1.822673724697591480e+00 0.000000000000000000e+00
1.677721600000000000e+07 1.159425636755366529e-02 2.999932690744442354e+00 0.000000000000000000e+00
3.355443200000000000e+07 1.877809046700227788e-02 1.553398666370453984e+00 0.000000000000000000e+00
6.710886400000000000e+07 1.146240328499604361e-02 1.948721987387092236e+00 0.000000000000000000e+00
1.342177280000000000e+08 9.317070745366900358e-03 -2.225158880111992143e+00 0.000000000000000000e+00
2.684354560000000000e+08 3.990754126314602877e-03 -2.600789152021470318e+00 0.000000000000000000e+00
5.368709120000000000e+08 4.740248649843505774e-02 2.326775092189078187e+00 0.000000000000000000e+00
1.073741824000000000e+09 5.803892750565531333e-03 -1.566696358742025952e+00 0.000000000000000000e+00
2.147483648000000000e+09 1.612940272806003342e-02 1.196267578524770059e+00 0.000000000000000000e+00
4.294967296000000000e+09 3.640325869685150963e-03 -1.686118804844085120e-02 0.000000000000000000e+00
8.589934592000000000e+09 1.945020361334317757e-02 -2.661725029221702954e+00 0.000000000000000000e+00
1.717986918400000000e+10 2.274001381359886179e-02 -2.942000046179249484e+00 0.000000000000000000e+00
3.435973836800000000e+10 1.277091119690060284e-02 2.658137297864440640e+00 0.000000000000000000e+00
6.871947673600000000e+10 3.887924632348728135e-03 -3.043225559128963642e+00 0.000000000000000000e+00
1.374389534720000000e+11 3.272028922458368461e-02 3.111210936705940622e+00 0.000000000000000000e+00
2.748779069440000000e+11 9.897747799774817695e-03 -1.571888237626365703e-01 0.000000000000000000e+00
5.497558138880000000e+11 5.275466954475429605e-03 2.091393995665750349e+00 0.000000000000000000e+00
