# L = 3	dim_loc = 3	n_dis = 100	
# Jzz = 1.0	hz = 0.9	alphas = [(0.99619469809174555+0.087155742747658152j), (0.99619469809174555-0.087155742747658152j)]	betas = [1, 1]	lambdas = [1, 1]	
#time_set	abs_Z	ang_Z	t_histogram
1.000000000000000000e+00 9.578184357532244508e-01 -9.081894436971762238e-05 0.000000000000000000e+00
2.000000000000000000e+00 9.088280887661049912e-01 5.723413102601996455e-03 0.000000000000000000e+00
4.000000000000000000e+00 7.905587268622348285e-01 2.457869566673943906e-02 1.200000000000000000e+01
8.000000000000000000e+00 6.756852831414317251e-01 3.581438811858297933e-02 2.700000000000000000e+01
1.600000000000000000e+01 6.698157062880981671e-01 5.073994516293961650e-03 9.000000000000000000e+00
3.200000000000000000e+01 6.116076236737860716e-01 2.074045317225247861e-02 6.000000000000000000e+00
6.400000000000000000e+01 5.301139404880119699e-01 2.239630800906261196e-02 9.000000000000000000e+00
1.280000000000000000e+02 3.930976830344513062e-01 3.308012935208551331e-02 2.700000000000000000e+01
2.560000000000000000e+02 3.732901785520408300e-01 -2.692128420731791649e-02 2.100000000000000000e+01
5.120000000000000000e+02 2.576059894594086574e-01 1.538673791702246593e-02 3.000000000000000000e+01
1.024000000000000000e+03 2.317314804512409510e-01 -4.853971686832892624e-02 3.000000000000000000e+01
2.048000000000000000e+03 1.478353306952777391e-01 -8.620483867611765383e-02 1.200000000000000000e+01
4.096000000000000000e+03 4.991296334594181455e-02 -6.176964292390108024e-01 2.700000000000000000e+01
8.192000000000000000e+03 3.253217130254201089e-02 5.588806593640325282e-01 2.400000000000000000e+01
1.638400000000000000e+04 3.869092794565939103e-02 1.071752177282762952e+00 1.800000000000000000e+01
3.276800000000000000e+04 6.212069844049721706e-02 2.830723249924882445e-01 1.500000000000000000e+01
6.553600000000000000e+04 3.619790582935509399e-02 -1.662624124234229450e+00 6.000000000000000000e+00
1.310720000000000000e+05 4.076356823127506163e-02 1.871553385174633544e+00 9.000000000000000000e+00
2.621440000000000000e+05 2.394731036847088865e-02 -2.217180622901894882e+00 6.000000000000000000e+00
5.242880000000000000e+05 4.246583395833242874e-02 1.950199484375781056e+00 0.000000000000000000e+00
1.048576000000000000e+06 4.589753003277217969e-02 -2.815589265135330366e-01 3.000000000000000000e+00
2.097152000000000000e+06 2.598501821431231651e-02 -9.552816968166473466e-02 3.000000000000000000e+00
4.194304000000000000e+06 9.716309361271595335e-03 1.556044675123619436e+00 3.000000000000000000e+00
8.388608000000000000e+06 3.497252158930123228e-02 -1.982425332228397563e+00 3.000000000000000000e+00
1.677721600000000000e+07 3.300562479826766454e-02 4.119717702703585838e-01 0.000000000000000000e+00
3.355443200000000000e+07 1.619689932152442932e-02 1.780379083058611256e+00 0.000000000000000000e+00
6.710886400000000000e+07 2.751673469845908673e-02 -2.250365394955467835e+00 0.000000000000000000e+00
1.342177280000000000e+08 4.249911164479767967e-02 -1.760314221962514747e+00 0.000000000000000000e+00
2.684354560000000000e+08 5.252441203975322104e-02 -2.316324737208184104e+00 0.000000000000000000e+00
5.368709120000000000e+08 2.390794839716342546e-02 5.526711121236614899e-01 0.000000000000000000e+00
1.073741824000000000e+09 2.828565764678737590e-02 -5.513342598789860993e-01 0.000000000000000000e+00
2.147483648000000000e+09 3.141535411626016072e-02 8.504211499415041675e-02 0.000000000000000000e+00
4.294967296000000000e+09 4.478697370519126031e-02 -7.452831862520976902e-02 0.000000000000000000e+00
8.589934592000000000e+09 2.902983913237208724e-02 1.602529139369162747e+00 0.000000000000000000e+00
1.717986918400000000e+10 3.131068379793081058e-02 -1.322860767753850642e+00 0.000000000000000000e+00
3.435973836800000000e+10 1.614049999231758487e-02 1.131033560081460720e+00 0.000000000000000000e+00
6.871947673600000000e+10 4.901951507157809723e-02 -1.108486897487723111e+00 0.000000000000000000e+00
1.374389534720000000e+11 2.262872643350272162e-02 1.469943040786882760e+00 0.000000000000000000e+00
2.748779069440000000e+11 2.690953145984715383e-02 -1.759072908606728936e+00 0.000000000000000000e+00
5.497558138880000000e+11 5.904728063603840310e-02 2.893923156310799438e+00 0.000000000000000000e+00
