# L = 6	dim_loc = 3	n_dis = 100	
# Jzz = 1.0	hz = 0.9	alphas = [(0.93969262078590843+0.34202014332566866j), (0.93969262078590843-0.34202014332566866j)]	betas = [1, 1]	lambdas = [1, 1]	
#time_set	abs_Z	ang_Z	t_histogram
1.000000000000000000e+00 9.122221898339613055e-01 3.257329616766974946e-04 0.000000000000000000e+00
2.000000000000000000e+00 8.078680697275737455e-01 3.586174707497413218e-03 1.200000000000000000e+01
4.000000000000000000e+00 6.767566028747243889e-01 1.096137876120856051e-02 0.000000000000000000e+00
8.000000000000000000e+00 6.122960920730542433e-01 1.739582050359653881e-02 6.000000000000000000e+00
1.600000000000000000e+01 5.632547505730006732e-01 2.509662501868829138e-02 1.200000000000000000e+01
3.200000000000000000e+01 5.381785123922681047e-01 3.075331428325434307e-03 6.000000000000000000e+00
6.400000000000000000e+01 4.956789379480801561e-01 9.979951714870413659e-03 1.200000000000000000e+01
1.280000000000000000e+02 4.838025885961077521e-01 1.679893625649984956e-02 1.200000000000000000e+01
2.560000000000000000e+02 4.614820003415765481e-01 2.108606473105596388e-02 0.000000000000000000e+00
5.120000000000000000e+02 4.305904991957005823e-01 1.989432286146034304e-02 1.200000000000000000e+01
1.024000000000000000e+03 4.070273421622078169e-01 1.476416698168510171e-02 1.200000000000000000e+01
2.048000000000000000e+03 3.697181694990585576e-01 1.407080160803783446e-02 1.800000000000000000e+01
4.096000000000000000e+03 3.058432522191222303e-01 1.013955921964259342e-02 4.800000000000000000e+01
8.192000000000000000e+03 2.444965869018284887e-01 2.046952108896486766e-02 4.800000000000000000e+01
1.638400000000000000e+04 1.977441638426754023e-01 -6.904430850970558154e-04 8.400000000000000000e+01
3.276800000000000000e+04 1.645267835315396276e-01 5.938779190468455871e-02 4.800000000000000000e+01
6.553600000000000000e+04 1.238547594493941972e-01 3.094496412251831335e-02 4.800000000000000000e+01
1.310720000000000000e+05 1.023241477212584322e-01 -4.679192622277202757e-02 4.200000000000000000e+01
2.621440000000000000e+05 7.617857023666710359e-02 -2.072534388156777041e-02 3.600000000000000000e+01
5.242880000000000000e+05 5.283493706337876600e-02 -1.503673198848126114e-01 1.800000000000000000e+01
1.048576000000000000e+06 2.811087504300480849e-02 -1.744697725762570650e-01 3.600000000000000000e+01
2.097152000000000000e+06 1.716193777328646475e-02 5.798669899959462137e-01 2.400000000000000000e+01
4.194304000000000000e+06 2.926522999818209105e-03 5.537264592930327689e-01 1.800000000000000000e+01
8.388608000000000000e+06 2.005863596198843857e-02 1.129446373525789582e+00 6.000000000000000000e+00
1.677721600000000000e+07 1.646301984879531069e-02 -8.475784739990170902e-01 1.800000000000000000e+01
3.355443200000000000e+07 2.243873247111647165e-02 -1.018721589620994017e+00 6.000000000000000000e+00
6.710886400000000000e+07 2.436003285638291618e-02 -2.526143606482583959e+00 0.000000000000000000e+00
1.342177280000000000e+08 8.899663942016931839e-03 8.625654466690068078e-01 0.000000000000000000e+00
2.684354560000000000e+08 1.444871136465143875e-02 2.810242216527828241e+00 1.800000000000000000e+01
5.368709120000000000e+08 1.045864148051641428e-02 -1.508501392409930197e+00 0.000000000000000000e+00
1.073741824000000000e+09 1.917171039865494739e-02 -2.637597763826937225e+00 0.000000000000000000e+00
2.147483648000000000e+09 2.125943268728067940e-04 -2.600190185313845603e+00 0.000000000000000000e+00
4.294967296000000000e+09 8.822399268623475760e-03 -1.090189192604425594e+00 0.000000000000000000e+00
8.589934592000000000e+09 2.144847935718516199e-03 -1.020446150841214372e+00 0.000000000000000000e+00
1.717986918400000000e+10 1.128743279469207779e-02 -2.479269620610687230e+00 0.000000000000000000e+00
3.435973836800000000e+10 3.117174559384833926e-03 -9.589167398339537574e-01 0.000000000000000000e+00
6.871947673600000000e+10 8.778506675079480320e-03 1.056746237763971780e-01 0.000000000000000000e+00
1.374389534720000000e+11 1.453856908007518031e-02 2.087914461216420214e+00 0.000000000000000000e+00
2.748779069440000000e+11 2.838223439267095749e-03 2.596419678198660819e+00 0.000000000000000000e+00
5.497558138880000000e+11 1.645301106002512379e-02 -8.028202948250123816e-01 0.000000000000000000e+00
