# L = 5	dim_loc = 3	n_dis = 100	
# Jzz = 1.0	hz = 0.9	alphas = [(0.98480775301220802+0.1736481776669303j), (0.98480775301220802-0.1736481776669303j)]	betas = [1, 1]	lambdas = [1, 1]	
#time_set	abs_Z	ang_Z	t_histogram
1.000000000000000000e+00 9.115530019196832479e-01 -8.944362500601253565e-04 0.000000000000000000e+00
2.000000000000000000e+00 8.151003247655742578e-01 -2.923098307011040998e-03 0.000000000000000000e+00
4.000000000000000000e+00 6.767286371896387154e-01 6.585183481149220822e-03 3.000000000000000000e+01
8.000000000000000000e+00 6.168875168973670942e-01 2.213554177314972556e-03 3.000000000000000000e+01
1.600000000000000000e+01 5.698544039430978314e-01 -2.019154430666806471e-02 1.000000000000000000e+01
3.200000000000000000e+01 5.474630505808292247e-01 -1.485080760375433011e-02 1.000000000000000000e+01
6.400000000000000000e+01 5.002453029407299967e-01 -1.026384986978224299e-02 5.000000000000000000e+00
1.280000000000000000e+02 4.708623600854266456e-01 -9.762722521750867924e-03 5.000000000000000000e+00
2.560000000000000000e+02 4.335826080409049266e-01 -2.268682856932080841e-02 2.000000000000000000e+01
5.120000000000000000e+02 3.876916876047791227e-01 -1.574252157491791426e-02 3.000000000000000000e+01
1.024000000000000000e+03 3.126364331041337485e-01 -2.108104056183589866e-03 3.000000000000000000e+01
2.048000000000000000e+03 2.461808892870709919e-01 -6.527102628213443669e-02 2.500000000000000000e+01
4.096000000000000000e+03 1.871352945505392051e-01 -1.520832394870055837e-02 5.000000000000000000e+01
8.192000000000000000e+03 1.254882836891938469e-01 -1.371557043192663250e-01 4.000000000000000000e+01
1.638400000000000000e+04 9.179816993731139407e-02 1.080490725850091205e-01 3.500000000000000000e+01
3.276800000000000000e+04 5.578503413587711929e-02 8.762969658531977180e-02 6.500000000000000000e+01
6.553600000000000000e+04 5.625843313363502324e-02 -2.307487170421289591e-01 4.000000000000000000e+01
1.310720000000000000e+05 3.667637023626312692e-02 2.816915005843076414e-01 2.500000000000000000e+01
2.621440000000000000e+05 7.832606253123607781e-03 -6.043642113164119367e-01 2.000000000000000000e+01
5.242880000000000000e+05 6.628963094395408026e-03 3.412734459912994400e-01 5.000000000000000000e+00
1.048576000000000000e+06 2.595907913236330036e-02 -1.446319134812000584e+00 5.000000000000000000e+00
2.097152000000000000e+06 5.366006814655972443e-03 -1.245611735448831414e+00 5.000000000000000000e+00
4.194304000000000000e+06 6.030519466126898175e-03 -1.456022269692746729e+00 1.000000000000000000e+01
8.388608000000000000e+06 3.131377359429778073e-02 7.726949411437451509e-01 5.000000000000000000e+00
1.677721600000000000e+07 1.173821752128157737e-02 -1.185829489920174007e+00 0.000000000000000000e+00
3.355443200000000000e+07 4.874823069738206879e-03 9.500417417626334515e-01 0.000000000000000000e+00
6.710886400000000000e+07 7.271587626881372696e-03 2.648913330780822584e+00 0.000000000000000000e+00
1.342177280000000000e+08 1.105871203214593701e-02 -2.886672479591500196e+00 0.000000000000000000e+00
2.684354560000000000e+08 1.272281395616550043e-02 -1.361396523516557044e+00 0.000000000000000000e+00
5.368709120000000000e+08 3.021253276963827700e-02 2.946832549467051532e+00 0.000000000000000000e+00
1.073741824000000000e+09 1.376560390471685824e-02 -1.106952713273647193e+00 0.000000000000000000e+00
2.147483648000000000e+09 6.879937004603116531e-03 1.660176681232034435e+00 0.000000000000000000e+00
4.294967296000000000e+09 2.039116536809528271e-02 -9.555414767001871867e-01 0.000000000000000000e+00
8.589934592000000000e+09 3.281393486517350522e-02 -1.831705784206793641e+00 0.000000000000000000e+00
1.717986918400000000e+10 2.319835311670847763e-02 -2.108449353890355926e+00 0.000000000000000000e+00
3.435973836800000000e+10 2.278028815768587401e-02 -1.840269156101849601e+00 0.000000000000000000e+00
6.871947673600000000e+10 2.292176846694767706e-02 -1.105973190191447131e+00 0.000000000000000000e+00
1.374389534720000000e+11 2.451124544291934711e-03 3.051071573409894544e+00 0.000000000000000000e+00
2.748779069440000000e+11 8.154000011983053228e-03 8.147101214091228005e-01 0.000000000000000000e+00
5.497558138880000000e+11 2.561227779563785695e-02 -5.464420074725518939e-01 0.000000000000000000e+00
