# L = 5	dim_loc = 3	n_dis = 100	
# Jzz = 1.0	hz = 0.9	alphas = [(0.99619469809174555+0.087155742747658152j), (0.99619469809174555-0.087155742747658152j)]	betas = [1, 1]	lambdas = [1, 1]	
#time_set	abs_Z	ang_Z	t_histogram
1.000000000000000000e+00 9.169923758614372256e-01 -8.383481877289218620e-04 0.000000000000000000e+00
2.000000000000000000e+00 8.241158171256910414e-01 1.703994811705563349e-03 0.000000000000000000e+00
4.000000000000000000e+00 6.374228621077849821e-01 1.635320777250287572e-02 4.000000000000000000e+01
8.000000000000000000e+00 5.275157598190346464e-01 2.746791799917321433e-02 4.500000000000000000e+01
1.600000000000000000e+01 4.914213432896386569e-01 2.554529752309231405e-02 2.000000000000000000e+01
3.200000000000000000e+01 4.477537858828030681e-01 4.018671174453320415e-03 1.000000000000000000e+01
6.400000000000000000e+01 4.240359749684431967e-01 6.829648985646878147e-03 1.500000000000000000e+01
1.280000000000000000e+02 3.687824895381657808e-01 1.916936297493692515e-02 3.000000000000000000e+01
2.560000000000000000e+02 3.288103992454659563e-01 3.972302033285109515e-03 2.500000000000000000e+01
5.120000000000000000e+02 2.715881098976650754e-01 2.561019852580798464e-02 3.500000000000000000e+01
1.024000000000000000e+03 2.266922760827814742e-01 2.660976849186373616e-02 6.000000000000000000e+01
2.048000000000000000e+03 1.806253366590244991e-01 8.340519393220752198e-03 5.000000000000000000e+00
4.096000000000000000e+03 1.023865212223407234e-01 -2.394055796279124723e-02 2.500000000000000000e+01
8.192000000000000000e+03 8.110260087228879367e-02 2.704421049489686424e-01 6.500000000000000000e+01
1.638400000000000000e+04 7.764291371913871476e-02 -1.449700076275058647e-01 2.500000000000000000e+01
3.276800000000000000e+04 2.923337695857286186e-02 -3.895500176628954314e-01 1.000000000000000000e+01
6.553600000000000000e+04 1.282349466768267603e-02 1.261769716190749291e+00 1.500000000000000000e+01
1.310720000000000000e+05 4.602476475684898032e-03 -1.459628702570338055e+00 1.500000000000000000e+01
2.621440000000000000e+05 2.019307086745688803e-02 5.781052070596515158e-01 4.500000000000000000e+01
5.242880000000000000e+05 1.781788684143402121e-02 1.563560214493481926e+00 0.000000000000000000e+00
1.048576000000000000e+06 1.179587821410094800e-02 7.417358960817856950e-01 0.000000000000000000e+00
2.097152000000000000e+06 2.766147516715262641e-02 3.135463276132712362e+00 1.000000000000000000e+01
4.194304000000000000e+06 1.158466339030568039e-02 -2.679511413047749979e+00 0.000000000000000000e+00
8.388608000000000000e+06 1.340924428896945846e-02 1.941009641691861409e+00 0.000000000000000000e+00
1.677721600000000000e+07 3.070225173936055180e-02 -1.363002121477193906e+00 0.000000000000000000e+00
3.355443200000000000e+07 2.323453078704910274e-02 -2.768863856917286537e+00 0.000000000000000000e+00
6.710886400000000000e+07 8.471395236085508401e-03 -1.678353527619085295e-01 0.000000000000000000e+00
1.342177280000000000e+08 6.510167323647728273e-03 1.913044443768740166e+00 0.000000000000000000e+00
2.684354560000000000e+08 1.610743971005830499e-02 -1.046955638023791879e+00 0.000000000000000000e+00
5.368709120000000000e+08 2.577965958706221125e-02 2.919746503395616033e-01 0.000000000000000000e+00
1.073741824000000000e+09 1.090142708859101993e-02 -2.104145916192249555e+00 0.000000000000000000e+00
2.147483648000000000e+09 1.632981529229348902e-02 3.038116419182814720e+00 0.000000000000000000e+00
4.294967296000000000e+09 1.871516865049195275e-02 -1.432071325465736233e+00 0.000000000000000000e+00
8.589934592000000000e+09 2.101149911597336925e-02 -6.072535963151383109e-01 5.000000000000000000e+00
1.717986918400000000e+10 2.241500397530533581e-02 -2.373010373395477490e+00 0.000000000000000000e+00
3.435973836800000000e+10 1.086423196728114951e-02 -2.224517509908338742e+00 0.000000000000000000e+00
6.871947673600000000e+10 1.268609772880732733e-02 1.112024833128361312e+00 0.000000000000000000e+00
1.374389534720000000e+11 1.428504643639883290e-02 2.970925177043590271e+00 0.000000000000000000e+00
2.748779069440000000e+11 7.830963050827793176e-03 -6.702775010463917216e-01 0.000000000000000000e+00
5.497558138880000000e+11 1.302008882412962303e-02 1.672835996657100699e+00 0.000000000000000000e+00
