# L = 3	dim_loc = 3	n_dis = 100	
# Jzz = 1.0	hz = 0.9	alphas = [(0.96592582628906831+0.25881904510252074j), (0.96592582628906831-0.25881904510252074j)]	betas = [1, 1]	lambdas = [1, 1]	
#time_set	abs_Z	ang_Z	t_histogram
1.000000000000000000e+00 9.940192242773491227e-01 1.510984292764639130e-04 0.000000000000000000e+00
2.000000000000000000e+00 9.867303385336405608e-01 5.887714414179900284e-04 0.000000000000000000e+00
4.000000000000000000e+00 9.755118861520342133e-01 7.777697654725540359e-04 0.000000000000000000e+00
8.000000000000000000e+00 9.671518969995736015e-01 -3.424165180897668220e-03 0.000000000000000000e+00
1.600000000000000000e+01 9.471986953994449010e-01 -7.580826966505050182e-03 0.000000000000000000e+00
3.200000000000000000e+01 9.445209851290258252e-01 -2.017686448001745382e-03 0.000000000000000000e+00
6.400000000000000000e+01 9.334718776194740331e-01 -1.187378005142631851e-02 3.000000000000000000e+00
1.280000000000000000e+02 9.349519423592433931e-01 -9.339969183693182242e-03 0.000000000000000000e+00
2.560000000000000000e+02 9.330765187922608339e-01 -6.098434517175144523e-03 0.000000000000000000e+00
5.120000000000000000e+02 8.973111980517569641e-01 -2.584677596439718863e-03 3.000000000000000000e+00
1.024000000000000000e+03 8.277936064007961336e-01 5.622976975552957009e-03 6.000000000000000000e+00
2.048000000000000000e+03 7.015928429115643183e-01 4.919797153899958808e-02 1.800000000000000000e+01
4.096000000000000000e+03 5.713459856588338770e-01 -4.252326516743351603e-02 1.500000000000000000e+01
8.192000000000000000e+03 4.113286501746050705e-01 4.519019011598966566e-03 2.400000000000000000e+01
1.638400000000000000e+04 2.492980775852265130e-01 -1.848844987665649309e-01 3.300000000000000000e+01
3.276800000000000000e+04 2.324063420123916590e-01 -9.199352926097294214e-02 3.300000000000000000e+01
6.553600000000000000e+04 1.709669269718725737e-01 -2.236073274078656248e-01 2.400000000000000000e+01
1.310720000000000000e+05 1.321347399691236713e-01 -1.200796998178140923e-01 2.400000000000000000e+01
2.621440000000000000e+05 8.900525635567592408e-02 -9.242043573687386271e-01 6.000000000000000000e+00
5.242880000000000000e+05 4.833817574921948218e-02 3.561333683846701903e-01 2.700000000000000000e+01
1.048576000000000000e+06 8.588778574079659889e-02 -1.053830440721498007e+00 9.000000000000000000e+00
2.097152000000000000e+06 2.265440445328662997e-02 2.782444444490227209e+00 2.100000000000000000e+01
4.194304000000000000e+06 5.203914112690759264e-02 -9.378845657011203318e-01 6.000000000000000000e+00
8.388608000000000000e+06 2.846705136339267722e-02 -2.330043846154999265e+00 9.000000000000000000e+00
1.677721600000000000e+07 8.646346625614677317e-03 2.019503513450155552e+00 1.200000000000000000e+01
3.355443200000000000e+07 6.852474049113431442e-02 -8.830645576076284753e-01 9.000000000000000000e+00
6.710886400000000000e+07 3.275377570913323017e-02 -7.993161088282931814e-01 6.000000000000000000e+00
1.342177280000000000e+08 3.617020092416916438e-02 5.600443143801705492e-01 3.000000000000000000e+00
2.684354560000000000e+08 1.434536823030585842e-02 -1.513643990691689423e+00 3.000000000000000000e+00
5.368709120000000000e+08 1.296425028629699834e-02 -1.796321303105411049e+00 0.000000000000000000e+00
1.073741824000000000e+09 3.648765867731360718e-02 2.029528192875664772e+00 0.000000000000000000e+00
2.147483648000000000e+09 5.849627217427984943e-02 2.683109188643706400e+00 0.000000000000000000e+00
4.294967296000000000e+09 4.541876088970025344e-02 -2.472188782384947547e+00 0.000000000000000000e+00
8.589934592000000000e+09 5.769361720274483740e-02 2.160397606891723665e+00 0.000000000000000000e+00
1.717986918400000000e+10 8.022489013715712602e-02 2.390695296685473092e+00 3.000000000000000000e+00
3.435973836800000000e+10 6.945512827340873108e-02 1.854362181950289568e+00 0.000000000000000000e+00
6.871947673600000000e+10 3.963968113767432633e-02 2.955053031532358432e+00 3.000000000000000000e+00
1.374389534720000000e+11 5.870058085742448778e-02 1.939356525534062792e+00 0.000000000000000000e+00
2.748779069440000000e+11 2.952742781977784822e-02 2.369582059028871424e+00 0.000000000000000000e+00
5.497558138880000000e+11 5.972882723968277879e-02 1.077788137119177092e+00 0.000000000000000000e+00
