# Jzz = 1.0	hz = 0.9	alphas = [(0.90630778703664994+0.42261826174069939j), (0.90630778703664994-0.42261826174069939j)]	betas = [1, 1]	lambdas = [1, 1]	
#1/N	Delta_0	Delta_2pik	r	log_Delta_0	log_Delta_2pik
5.000000000000000000e-01 6.981317007977319022e-01 6.942804670273119982e-02 4.636412660358446569e-01 -2.481668952067709599e-01 -1.573006600975247027e+00
3.333333333333333148e-01 2.327105669325772452e-01 1.973108111625296313e-02 4.841186632325387706e-01 -7.543822450221007170e-01 -2.224071904762275231e+00
2.500000000000000000e-01 7.757018897752573916e-02 5.470575023185488342e-03 4.690891131538642012e-01 -1.239244164540927784e+00 -2.772093902875801597e+00
2.000000000000000111e-01 2.585672965917525448e-02 1.757406731173775808e-03 4.583725803567595958e-01 -1.733401918124646279e+00 -3.355769945643470642e+00
1.666666666666666574e-01 8.618909886391754385e-03 1.139864183383599520e-03 4.801517268654750259e-01 -2.197026783380057857e+00 -3.537392750914956085e+00
