# Jzz = 1.0	hz = 0.9	alphas = [(0.99619469809174555+0.087155742747658152j), (0.99619469809174555-0.087155742747658152j)]	betas = [1, 1]	lambdas = [1, 1]	
#1/N	Delta_0	Delta_2pik	r	log_Delta_0	log_Delta_2pik
5.000000000000000000e-01 6.981317007977317912e-01 7.089743234559200968e-02 4.487618736576453604e-01 -2.612909773885425668e-01 -1.588588690612260157e+00
3.333333333333333148e-01 2.327105669325772730e-01 2.410521515969939188e-02 4.723152304361750153e-01 -7.531392908913200346e-01 -2.173130872238068445e+00
2.500000000000000000e-01 7.757018897752579467e-02 1.110348284928163246e-02 4.908321123211827897e-01 -1.234147739160544655e+00 -2.391117661966811969e+00
2.000000000000000111e-01 2.585672965917524754e-02 4.524011885429483730e-03 4.898706778654525196e-01 -1.709645315352941619e+00 -2.877978387712055497e+00
1.666666666666666574e-01 8.618909886391761324e-03 1.558348567958684839e-03 4.804215698374567078e-01 -2.198393145227432566e+00 -3.541732685459343610e+00
