# Jzz = 1.0	hz = 0.9	alphas = [(0.99619469809174555+0.087155742747658152j), (0.99619469809174555-0.087155742747658152j)]	betas = [1, 1]	lambdas = [1, 1]	
#1/N	Delta_0	Delta_2pik	r	log_Delta_0	log_Delta_2pik
5.000000000000000000e-01 6.981317007977316802e-01 6.666515083223841474e-03 3.313176683047858728e-01 -3.531254227595126416e-01 -2.825058609509996543e+00
3.333333333333333148e-01 2.327105669325772730e-01 1.146816454152098678e-03 4.058224974559425657e-01 -8.655185842899482118e-01 -3.766450669098114101e+00
2.500000000000000000e-01 7.757018897752575304e-02 1.328440081403427198e-04 4.234643627832685997e-01 -1.343796495660415147e+00 -4.875189672669690388e+00
2.000000000000000111e-01 2.585672965917526142e-02 2.558452252607021414e-05 4.106229806071407529e-01 -1.807902733617600344e+00 -5.791529331978504835e+00
1.666666666666666574e-01 8.618909886391747446e-03 3.516009834571713546e-06 3.975159601795802966e-01 -2.299227334576620319e+00 -6.878143721720417325e+00
