# Jzz = 1.0	hz = 0.9	alphas = [(1+0j), (1-0j)]	betas = [1, 1]	lambdas = [1, 1]	
#1/N	Delta_0	Delta_2pik	r	log_Delta_0	log_Delta_2pik
5.000000000000000000e-01 6.981317007977316802e-01 8.745565884322692440e-02 4.460513759025208635e-01 -2.667575904621199978e-01 -1.443889120103012846e+00
3.333333333333333148e-01 2.327105669325772730e-01 3.724098321131350670e-02 4.417886704536402864e-01 -7.993930732603629075e-01 -1.840730964285879567e+00
2.500000000000000000e-01 7.757018897752579467e-02 1.912213900768201802e-02 4.716115500652071635e-01 -1.258169928955132466e+00 -2.170233515128233925e+00
2.000000000000000111e-01 2.585672965917523367e-02 1.017703311302220991e-02 4.730677344200517886e-01 -1.730349296655228963e+00 -2.354422809402978878e+00
1.666666666666666574e-01 8.618909886391747446e-03 4.813720726321927580e-03 4.805113925167310840e-01 -2.192749532364127951e+00 -2.587347786313274778e+00
