# Jzz = 1.0	hz = 0.9	alphas = [(0.90630778703664994+0.42261826174069939j), (0.90630778703664994-0.42261826174069939j)]	betas = [1, 1]	lambdas = [1, 1]	
#1/N	Delta_0	Delta_2pik	r	log_Delta_0	log_Delta_2pik
5.000000000000000000e-01 6.981317007977317912e-01 1.128672709545301168e-02 3.884421385259296255e-01 -2.999621956857563276e-01 -2.558270681700867577e+00
3.333333333333333148e-01 2.327105669325772730e-01 2.109935475719850947e-03 4.063306923299942475e-01 -8.123731993200318247e-01 -3.338151412688024511e+00
2.500000000000000000e-01 7.757018897752573916e-02 6.926036496978385743e-04 4.361333495877279809e-01 -1.284011477183221395e+00 -4.081923410850975209e+00
2.000000000000000111e-01 2.585672965917525448e-02 2.969948395436172663e-04 4.119392867453177121e-01 -1.784635380184787623e+00 -4.701055134159823012e+00
1.666666666666666574e-01 8.618909886391743977e-03 1.043453621262126202e-04 4.077806367213971384e-01 -2.273039240720434506e+00 -5.361615438688739133e+00
