# Jzz = 1.0	hz = 0.9	alphas = [(0.90630778703664994+0.42261826174069939j), (0.90630778703664994-0.42261826174069939j)]	betas = [1, 1]	lambdas = [1, 1]	
#1/N	Delta_0	Delta_2pik	r	log_Delta_0	log_Delta_2pik
5.000000000000000000e-01 6.981317007977317912e-01 9.020697304925395787e-02 4.422932601745304115e-01 -2.639736072579892956e-01 -1.492884869580348273e+00
3.333333333333333148e-01 2.327105669325773285e-01 2.500671533016926573e-02 5.034070049547051395e-01 -7.380875082786073627e-01 -2.150820980089657830e+00
2.500000000000000000e-01 7.757018897752576692e-02 7.315768936054480726e-03 4.758955696992518414e-01 -1.237678286919195125e+00 -2.705779445386670368e+00
2.000000000000000111e-01 2.585672965917523367e-02 2.677701316126220900e-03 4.732157931194317380e-01 -1.722333612913893974e+00 -3.306295628828905819e+00
1.666666666666666574e-01 8.618909886391735303e-03 1.345771761805650410e-03 4.947422529701192562e-01 -2.183911944211013534e+00 -3.434311237916092718e+00
