# Jzz = 1.0	hz = 0.9	alphas = [(1+0j), (1-0j)]	betas = [1, 1]	lambdas = [1, 1]	
#1/N	Delta_0	Delta_2pik	r	log_Delta_0	log_Delta_2pik
5.000000000000000000e-01 6.981317007977319022e-01 5.762706694405642094e-02 3.868995885488210607e-01 -3.094881658332050423e-01 -1.712771226571895733e+00
3.333333333333333148e-01 2.327105669325772730e-01 2.878311090955953250e-02 4.239027814194003541e-01 -8.366402532809968928e-01 -1.982631332261350021e+00
2.500000000000000000e-01 7.757018897752573916e-02 1.285172424200611840e-02 4.510114719821764484e-01 -1.306697061925987446e+00 -2.363702920311081090e+00
2.000000000000000111e-01 2.585672965917525795e-02 6.510166481964577145e-03 4.476207022363540289e-01 -1.770454959564979891e+00 -2.603731600660848855e+00
1.666666666666666574e-01 8.618909886391754385e-03 3.785697335649686624e-03 4.522718187467040241e-01 -2.240620880198790577e+00 -2.863198604284220128e+00
