# Jzz = 1.0	hz = 0.9	alphas = [(1+0j), (1-0j)]	betas = [1, 1]	lambdas = [1, 1]	
#1/N	Delta_0	Delta_2pik	r	log_Delta_0	log_Delta_2pik
5.000000000000000000e-01 6.981317007977317912e-01 4.625117039278742181e-02 3.423476706242603029e-01 -3.352578916984794710e-01 -1.760279990384167492e+00
3.333333333333333148e-01 2.327105669325772452e-01 1.973889290672938696e-02 3.998381528187639478e-01 -8.854684510905047601e-01 -2.186623037291672400e+00
2.500000000000000000e-01 7.757018897752572528e-02 1.032341798876245179e-02 4.340586911498126588e-01 -1.349962732265569620e+00 -2.489706441321537955e+00
2.000000000000000111e-01 2.585672965917526489e-02 5.344585304060167456e-03 4.343142067127205852e-01 -1.806718256420309698e+00 -2.771122876406421298e+00
1.666666666666666574e-01 8.618909886391747446e-03 2.618410615148459783e-03 4.307316049746728326e-01 -2.269449194148548177e+00 -3.105422982706423696e+00
